PEDRA FURADA;;;;
;;AVALIAÇÃO MUNICIPAL;;
6;;"COMO VOCÊ AVALIA A ATUAL
ADMINISTRAÇÃO DO MUNICIPIO? ESTIMULADA";7;100.00%
;6.1;ÓTIMA;0;0.00%
;6.2;BOA;1;14.29%
;6.3;REGULAR;2;28.57%
;6.4;RUIM;0;0.00%
;6.5;PÉSSIMA;4;57.14%
;6.6;NR/NS;0;0.00%
7;;"ENTRE AS SECRETARIAS OU ÁREA DO MUNICIPIO, QUAL VOCE CONSIDERA MAIS
COMPETENTE? ESTIMULADA";7;100.00%
;7.1;ASSISTÊNCIA SOCIAL;0;0.00%
;7.2;SAÚDE;2;28.57%
;7.3;EDUCAÇÃO;0;0.00%
;7.4;ESPORTE E LAZER;0;0.00%
;7.5;OBRAS;2;28.57%
;7.6;TRANSPORTE;0;0.00%
;7.7;CULTURA E EVENTOS;0;0.00%
;7.8;ADMINISTRAÇÃO E GOVERNO;0;0.00%
;7.9;MEIO AMBIENTE;0;0.00%
;7.1;NS/NR;3;42.86%
;7.11;NENHUM;0;0.00%
8;;"ENTRE AS SECRETARIAS DO MUNICIPIO, QUAL VOCE CONSIDERA MAIS COMPETENTE?
ESTIMULADA";7;100.00%
;8.1;ASSISTÊNCIA SOCIAL;0;0.00%
;8.2;SAÚDE;3;42.86%
;8.3;EDUCAÇÃO;0;0.00%
;8.4;ESPORTE E LAZER;2;28.57%
;8.5;OBRAS;0;0.00%
;8.6;TRANSPORTE;0;0.00%
;8.7;CULTURA E EVENTOS;0;0.00%
;8.8;ADMINISTRAÇÃO E GOVERNO;0;0.00%
;8.9;MEIO AMBIENTE;0;0.00%
;8.1;NS/NR;1;14.29%
;8.11;NENHUM;1;14.29%
9;;"NA SUA OPINIÃO  VOCÊ PODERIA CITA 3 PRINCIPAIS PROBLEMA DO BAIRRO QUE 
VOCÊ MORA HOJE: ESTIMULADA";17;100.00%
;9.1;"SAÚDE (Exames, remédios, atendimento ruim, falta
consultas)";3;17.65%
;9.2;LIMPEZA URBANA E COLETA DE LIXO;2;11.76%
;9.3;"ASSISTÊNCIA SOCIAL ( falta de atendimento ao
idoso, deficiente, criança e adolescente).";1;5.88%
;9.4;"BURACO E FALTA DE MANUTENÇÃO NAS ESTRADAS
RURAIS E VIAS URBANAS";4;23.53%
;9.5;ADMINISTRAÇÃO RUIM;1;5.88%
;9.6;SANEAMENTO BÁSICO;0;0.00%
;9.7;FALTA  DE  ÁREAS  E  OPORTUNIDADES  DE  LAZER  E ESPORTES;2;11.76%
;9.8;"DESEMPREGO - FALTA DE OPORTUNIDADES DE
TRABALHO";3;17.65%
;9.9;TRANSPORTE COLETIVO PRECÁRIO;1;5.88%
;9.1;VIOLÊNCIA(Falta de segurança pública);0;0.00%
;9.11;NFRAESTRUTURA PRECÁRIA;0;0.00%
;9.12;EDUCAÇÃO RUIM;0;0.00%
;9.13;NS/NR;0;0.00%
;9.14;NENHUM;0;0.00%
;9.15;OUTROS;0;0.00%
10;;"O QUE VOCÊ GOSTARIA QUE MELHORE EM SEU
BAIRRO?";7;100.00%
;10.1.1;CALÇAMENTO;5;71.43%
;10.1.2;SAÚDE;1;14.29%
;10.2;NS/NR;1;14.29%
11;;SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A PREFEITO OU PREFEITA? ESPONTÂNIA;7;
;11.15;;0;0.00%
;11.16;NÃO SABE / N. RESP.;7;100.00%
12;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ
VOTARIA A PREFEITO OU PREFEITA DO MUNICÍPIO? ESTIMULADA";7;100.00%
;12.1;LAURA ARAUJO;1;14.29%
;12.2;TXAI (ORABOLAS);0;0.00%
;12.3;JULIA HORTA;0;0.00%
;12.4;MARTA GERVÁSIO;0;0.00%
;12.5;TÃOZINHO;1;14.29%
;12.6;QUERALA DA CENIBRA;0;0.00%
;12.7;MORIÁ;0;0.00%
;12.8;ANTÔNIO PIMENTEL;0;0.00%
;12.9;ARTUR MOREIRA;0;0.00%
;12.1;NÃO SABE/N. RESP.;5;71.43%
13;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ NÃO
VOTARIA DE JEITO NENHUM A PREFEITO OU PREFEITA DO MUNICÍPIO?";7;100.00%
;13.1;LAURA ARAUJO;5;71.43%
;13.2;TXAI (ORABOLAS);0;0.00%
;13.3;JULIA HORTA;0;0.00%
;13.4;MARTA GERVÁSIO;0;0.00%
;13.5;TÃOZINHO;0;0.00%
;13.6;QUERALA DA CENIBRA;0;0.00%
;13.7;MORIÁ;0;0.00%
;13.8;ANTÔNIO PIMENTEL;0;0.00%
;13.9;ARTUR MOREIRA;0;0.00%
;13.1;NÃO SABE/N. RESP.;2;28.57%
14;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A
VEREADOR? ESPONTÂNEA";7;100.00%
;14.1.1;FUBA;1;14.29%
;14.2;NÃO SABE/N. RESP.;6;85.71%
15;;"QUEM VOCÊ CONSIDERA A MAIOR LIDERANÇA DO
BAIRRO QUE MORA? ESPONTÂNEA";7;100.00%
;15.1.1;JULIA HORTA;;0.00%
;15.2;NÃO SABE/N. RESP.;7;100.00%
