BANDEIRANTES;;;;
;;AVALIAÇÃO MUNICIPAL;;
6;;"COMO VOCÊ AVALIA A ATUAL ADMINISTRAÇÃO DO MUNICIPIO?
ESTIMULADA";6;100.00%
;6.1;ÓTIMA;0;0.00%
;6.2;BOA;0;0.00%
;6.3;REGULAR;2;33.33%
;6.4;RUIM;2;33.33%
;6.5;PÉSSIMA;2;33.33%
;6.6;NR/NS;0;0.00%
7;;"ENTRE AS SECRETARIAS OU ÁREA DO
MUNICIPIO, QUAL VOCE CONSIDERA MAIS COMPETENTE? ESTIMULADA";6;100.00%
;7.1;ASSISTÊNCIA SOCIAL;1;16.67%
;7.2;SAÚDE;2;33.33%
;7.3;EDUCAÇÃO;1;16.67%
;7.4;ESPORTE E LAZER;0;0.00%
;7.5;OBRAS;1;16.67%
;7.6;TRANSPORTE;0;0.00%
;7.7;CULTURA E EVENTOS;0;0.00%
;7.8;ADMINISTRAÇÃO E GOVERNO;0;0.00%
;7.9;MEIO AMBIENTE;0;0.00%
;7.1;NS/NR;1;16.67%
;7.11;NENHUM;0;0.00%
8;;"ENTRE AS SECRETARIAS DO MUNICIPIO, QUAL VOCE CONSIDERA MAIS COMPETENTE?
ESTIMULADA";6;100.00%
;8.1;ASSISTÊNCIA SOCIAL;0;0.00%
;8.2;SAÚDE;0;0.00%
;8.3;EDUCAÇÃO;1;16.67%
;8.4;ESPORTE E LAZER;0;0.00%
;8.5;OBRAS;3;50.00%
;8.6;TRANSPORTE;0;0.00%
;8.7;CULTURA E EVENTOS;0;0.00%
;8.8;ADMINISTRAÇÃO E GOVERNO;1;16.67%
;8.9;MEIO AMBIENTE;0;0.00%
;8.1;NS/NR;1;16.67%
;8.11;NENHUM;0;0.00%
9;;"NA SUA OPINIÃO  VOCÊ PODERIA CITA 3 PRINCIPAIS PROBLEMA DO BAIRRO 
QUE VOCÊ MORA HOJE: ESTIMULADA";14;100.00%
;9.1;"SAÚDE (Exames, remédios, atendimento ruim, falta
consultas)";3;21.43%
;9.2;LIMPEZA URBANA E COLETA DE LIXO;2;14.29%
;9.3;"ASSISTÊNCIA SOCIAL ( falta de atendimento ao
idoso, deficiente, criança e adolescente).";0;0.00%
;9.4;"BURACO E FALTA DE MANUTENÇÃO NAS ESTRADAS
RURAIS E VIAS URBANAS";4;28.57%
;9.5;ADMINISTRAÇÃO RUIM;1;7.14%
;9.6;SANEAMENTO BÁSICO;0;0.00%
;9.7;"FALTA  DE  ÁREAS  E  OPORTUNIDADES  DE  LAZER  E
ESPORTES";2;14.29%
;9.8;DESEMPREGO - FALTA DE OPORTUNIDADES DE TRABALHO;0;0.00%
;9.9;TRANSPORTE COLETIVO PRECÁRIO;0;0.00%
;9.1;VIOLÊNCIA(Falta de segurança pública);1;7.14%
;9.11;NFRAESTRUTURA PRECÁRIA;0;0.00%
;9.12;EDUCAÇÃO RUIM;1;7.14%
;9.13;NS/NR;0;0.00%
;9.14;NENHUM;0;0.00%
;9.15;OUTROS;0;0.00%
10;;"O QUE VOCÊ GOSTARIA QUE MELHORE EM SEU
BAIRRO?";6;100.00%
;10.1.1;CALÇAMENTO;2;33.33%
;10.1.2;ASFALTO;2;33.33%
;10.1.3;ESTRADA;1;16.67%
;10.2;NS/NR;1;16.67%
11;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A PREFEITO OU PREFEITA?
ESPONTÂNEA";6;100.00%
;11.1;TXAI (ORABOLAS);1;16.67%
;11.2;TÃOZINHO;1;16.67%
;11.3;NÃO SABE / N. RESP.;4;66.67%
12;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A PREFEITO OU PREFEITA DO MUNICÍPIO?
ESTIMULADA";6;100.00%
;12.1;LAURA ARAUJO;0;0.00%
;12.2;TXAI (ORABOLAS);1;16.67%
;12.3;JULIA HORTA;2;33.33%
;12.4;MARTA GERVÁSIO;0;0.00%
;12.5;TÃOZINHO;1;16.67%
;12.6;QUERALA DA CENIBRA;0;0.00%
;12.7;MORIÁ;0;0.00%
;12.8;ANTÔNIO PIMENTEL;0;0.00%
;12.9;ARTUR MOREIRA;0;0.00%
;12.1;NÃO SABE/N. RESP.;2;33.33%
13;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ NÃO VOTARIA DE JEITO NENHUM A PREFEITO OU
PREFEITA DO MUNICÍPIO?";6;100.00%
;13.1;LAURA ARAUJO;3;50.00%
;13.2;TXAI (ORABOLAS);0;0.00%
;13.3;JULIA HORTA;0;0.00%
;13.4;MARTA GERVÁSIO;0;0.00%
;13.5;TÃOZINHO;0;0.00%
;13.6;QUERALA DA CENIBRA;0;0.00%
;13.7;MORIÁ;0;0.00%
;13.8;ANTÔNIO PIMENTEL;0;0.00%
;13.9;ARTUR MOREIRA;0;0.00%
;13.1;NÃO SABE/N. RESP.;3;50.00%
14;;"SE ELEIÇÃO FOSSE HOJE QUEM VOCÊ VOTARIA A
VEREADOR? ESPONTÂNEA";6;100.00%
;14.1.1;TÃOZINHO;1;16.67%
;14.1.2;CRISTIAN;1;16.67%
;14.1.3;ZÉ FERNANDES;1;16.67%
;14.2;NÃO SABE/N. RESP.;3;50.00%
15;;"QUEM VOCÊ CONSIDERA A MAIOR LIDERANÇA DO
BAIRRO QUE MORA? ESPONTÂNEA";6;100.00%
;15.1.1;PITA;1;16.67%
;15.2;NÃO SABE/N. RESP.;5;83.33%
